|TABLE_NAME                         |CONSTRAINT_NAME                       |CONSTRAINT_TYPE|STATUS  |VALIDATED    |COLUMN_NAME                           |POSITION|
|EXPEDIENTE_OBSERVACION_EJECUCION   |SYS_C008369                           |C              |ENABLED |VALIDATED    |ID_EXPEDIENTE                         |        |
|EXPEDIENTE_OBSERVACION_EJECUCION   |SYS_C008370                           |C              |ENABLED |VALIDATED    |TIENE_OBSERVACION                     |        |
|EXPEDIENTE_OBSERVACION_EJECUCION   |SYS_C008371                           |P              |ENABLED |VALIDATED    |ID_EXPEDIENTE_OBSERVACION_EJECUCION   |1       |
|EXPEDIENTE_OBSERVACION_VERIFICACION|SYS_C008372                           |C              |ENABLED |VALIDATED    |ID_EXPEDIENTE_OBSERVACION_VERIFICACION|        |
|EXPEDIENTE_OBSERVACION_VERIFICACION|SYS_C008373                           |C              |ENABLED |VALIDATED    |ID_EXPEDIENTE                         |        |
|EXPEDIENTE_OBSERVACION_VERIFICACION|SYS_C008374                           |C              |ENABLED |VALIDATED    |TIENE_OBSERVACION                     |        |
|EXPEDIENTE_OBSERVACION_VERIFICACION|SYS_C008375                           |P              |ENABLED |VALIDATED    |ID_EXPEDIENTE_OBSERVACION_VERIFICACION|1       |
|HELP                               |SYS_C006855                           |C              |ENABLED |VALIDATED    |TOPIC                                 |        |
|HELP                               |SYS_C006856                           |C              |ENABLED |VALIDATED    |SEQ                                   |        |
|HELP                               |HELP_TOPIC_SEQ                        |P              |ENABLED |VALIDATED    |TOPIC                                 |1       |
|HELP                               |HELP_TOPIC_SEQ                        |P              |ENABLED |VALIDATED    |SEQ                                   |2       |
|LOGMNR_AGE_SPILL$                  |LOGMNR_AGE_SPILL$_PK                  |P              |ENABLED |VALIDATED    |SESSION#                              |1       |
|LOGMNR_AGE_SPILL$                  |LOGMNR_AGE_SPILL$_PK                  |P              |ENABLED |VALIDATED    |PDBID                                 |2       |
|LOGMNR_AGE_SPILL$                  |LOGMNR_AGE_SPILL$_PK                  |P              |ENABLED |VALIDATED    |XIDUSN                                |3       |
|LOGMNR_AGE_SPILL$                  |LOGMNR_AGE_SPILL$_PK                  |P              |ENABLED |VALIDATED    |XIDSLT                                |4       |
|LOGMNR_AGE_SPILL$                  |LOGMNR_AGE_SPILL$_PK                  |P              |ENABLED |VALIDATED    |XIDSQN                                |5       |
|LOGMNR_AGE_SPILL$                  |LOGMNR_AGE_SPILL$_PK                  |P              |ENABLED |VALIDATED    |CHUNK                                 |6       |
|LOGMNR_AGE_SPILL$                  |LOGMNR_AGE_SPILL$_PK                  |P              |ENABLED |VALIDATED    |SEQUENCE#                             |7       |
|LOGMNR_ATTRCOL$                    |SYS_C003252                           |C              |ENABLED |VALIDATED    |OBJ#                                  |        |
|LOGMNR_ATTRCOL$                    |LOGMNR_ATTRCOL$_PK                    |P              |DISABLED|NOT VALIDATED|LOGMNR_UID                            |1       |
|LOGMNR_ATTRCOL$                    |LOGMNR_ATTRCOL$_PK                    |P              |DISABLED|NOT VALIDATED|OBJ#                                  |2       |
|LOGMNR_ATTRCOL$                    |LOGMNR_ATTRCOL$_PK                    |P              |DISABLED|NOT VALIDATED|INTCOL#                               |3       |
|LOGMNR_ATTRIBUTE$                  |SYS_C003407                           |C              |ENABLED |VALIDATED    |TOID                                  |        |
|LOGMNR_ATTRIBUTE$                  |LOGMNR_ATTRIBUTE$_PK                  |P              |DISABLED|NOT VALIDATED|LOGMNR_UID                            |1       |
|LOGMNR_ATTRIBUTE$                  |LOGMNR_ATTRIBUTE$_PK                  |P              |DISABLED|NOT VALIDATED|TOID                                  |2       |
|LOGMNR_ATTRIBUTE$                  |LOGMNR_ATTRIBUTE$_PK                  |P              |DISABLED|NOT VALIDATED|VERSION#                              |3       |
|LOGMNR_ATTRIBUTE$                  |LOGMNR_ATTRIBUTE$_PK                  |P              |DISABLED|NOT VALIDATED|ATTRIBUTE#                            |4       |
|LOGMNR_CCOL$                       |SYS_C003452                           |C              |ENABLED |VALIDATED    |INTCOL#                               |        |
|LOGMNR_CCOL$                       |LOGMNR_CCOL$_PK                       |P              |DISABLED|NOT VALIDATED|LOGMNR_UID                            |1       |
|LOGMNR_CCOL$                       |LOGMNR_CCOL$_PK                       |P              |DISABLED|NOT VALIDATED|CON#                                  |2       |
|LOGMNR_CCOL$                       |LOGMNR_CCOL$_PK                       |P              |DISABLED|NOT VALIDATED|INTCOL#                               |3       |
